drugbank_id,drugbank_name,umls_cui_from_meddra,side_effect_name
DB00659,Acamprosate,C0151772,Manic psychosis
DB00659,Acamprosate,C0025323,Menorrhagia
DB00659,Acamprosate,C0004936,Mental disorder
DB00659,Acamprosate,C0025874,Metrorrhagia
DB00659,Acamprosate,C0149931,Migraine
DB00659,Acamprosate,C0231530,Muscle twitching
DB00659,Acamprosate,C0007859,Neck pain
DB00659,Acamprosate,C0392525,Nephrolithiasis
DB00659,Acamprosate,C0085649,Oedema peripheral
DB00659,Acamprosate,C0014868,Oesophagitis
DB00659,Acamprosate,C0020651,Orthostatic hypotension
DB00659,Acamprosate,C0030252,Palpitations
DB00659,Acamprosate,C0030305,Pancreatitis
DB00659,Acamprosate,C0030332,Panophthalmitis
DB00659,Acamprosate,C0151836,Paranoid reaction
DB00659,Acamprosate,C0031542,Phlebitis
DB00659,Acamprosate,C0042023,Pollakiuria
DB00659,Acamprosate,C0423791,Rash maculo-papular
DB00659,Acamprosate,C0267596,Rectal haemorrhage
DB00659,Acamprosate,C0003873,Rheumatoid arthritis
DB00659,Acamprosate,C0037036,Salivary hypersecretion
DB00659,Acamprosate,C0549622,Sexual dysfunction
DB00659,Acamprosate,C0038362,Stomatitis
DB00659,Acamprosate,C0424000,Suicidal ideation
DB00659,Acamprosate,C0038663,Suicide attempt
DB00659,Acamprosate,C0038990,Sweating
DB00659,Acamprosate,C0233494,Tension
DB00659,Acamprosate,C0233632,Thinking abnormal
DB00659,Acamprosate,C0040046,Thrombophlebitis
DB00659,Acamprosate,C0040822,Tremor
DB00659,Acamprosate,C0042024,Urinary incontinence
DB00659,Acamprosate,C0042029,Urinary tract infection
DB00659,Acamprosate,C0404521,Vaginal infection
DB00659,Acamprosate,C0042267,Vaginal inflammation
DB00659,Acamprosate,C0042345,Varicose vein
DB00659,Acamprosate,C0042571,Vertigo
DB00659,Acamprosate,C0151883,Vesiculobullous rash
DB00659,Acamprosate,C0043096,Weight decreased
DB00284,Acarbose,C0042373,Angiopathy
DB00284,Acarbose,C0041834,Erythema
DB00284,Acarbose,C0016204,Flatulence
DB00284,Acarbose,C0239571,Foetor hepaticus
DB00284,Acarbose,C0019158,Hepatitis
DB00284,Acarbose,C0151763,Hepatocellular injury
DB00284,Acarbose,C0021053,Immune system disorder
DB00284,Acarbose,C0021933,Intussusception
DB00284,Acarbose,C0023895,Liver disorder
DB00284,Acarbose,C0160390,Liver injury
DB00284,Acarbose,C0267596,Rectal haemorrhage
DB01193,Acebutolol,C0234458,Abnormal dreams
DB01193,Acebutolol,C0234238,Ache
DB01193,Acebutolol,C0233472,Affect lability
DB01193,Acebutolol,C0001824,Agranulocytosis
DB01193,Acebutolol,C0002170,Alopecia
DB01193,Acebutolol,C0042373,Angiopathy
DB01193,Acebutolol,C1971624,Appetite absent
DB01193,Acebutolol,C0151904,Aspartate aminotransferase increased
DB01193,Acebutolol,C0004245,Atrioventricular block
DB01193,Acebutolol,C0311468,Blood bilirubin increased
DB01193,Acebutolol,C0428977,Bradycardia
DB01193,Acebutolol,C0006266,Bronchospasm
DB01193,Acebutolol,C0018801,Cardiac failure
DB01193,Acebutolol,C0018802,Cardiac failure congestive
DB01193,Acebutolol,C0007166,Cardiac output decreased
DB01193,Acebutolol,C0007398,Catatonia
DB01193,Acebutolol,C0085593,Chills
DB01193,Acebutolol,C0162529,Colitis ischaemic
DB01193,Acebutolol,C0009763,Conjunctivitis
DB01193,Acebutolol,C0009782,Connective tissue disorder
DB01193,Acebutolol,C0011606,Dermatitis exfoliative
DB01193,Acebutolol,C0233407,Disorientation
DB01193,Acebutolol,C0314719,Dry eye
DB01193,Acebutolol,C0151827,Eye pain
DB01193,Acebutolol,C0022281,Eye pruritus
DB01193,Acebutolol,C0016204,Flatulence
DB01193,Acebutolol,C0018524,Hallucination
DB01193,Acebutolol,C0018834,Heartburn
DB01193,Acebutolol,C0600142,Hot flush
DB01193,Acebutolol,C0020580,Hypoaesthesia
DB01193,Acebutolol,C2047937,Ill-defined disorder
DB01193,Acebutolol,C0021775,Intermittent claudication
DB01193,Acebutolol,C0023066,Laryngospasm
DB01193,Acebutolol,C0220870,Lightheadedness
DB01193,Acebutolol,C0041657,Loss of consciousness
DB01193,Acebutolol,C2981158,Loss of libido
DB01193,Acebutolol,C0231218,Malaise
DB01193,Acebutolol,C0025061,Mediastinal disorder
DB01193,Acebutolol,C0236075,Menopausal symptoms
DB01193,Acebutolol,C0085633,Mood swings
DB01193,Acebutolol,C2363730,Oropharyngeal discomfort
DB01193,Acebutolol,C0020651,Orthostatic hypotension
DB01193,Acebutolol,C0030196,Pain in extremity
DB01193,Acebutolol,C0030252,Palpitations
DB01193,Acebutolol,C0701811,Short-term memory loss
DB01193,Acebutolol,C0541782,Sinus arrest
DB01193,Acebutolol,C0038990,Sweating
DB01193,Acebutolol,C0024141,Systemic lupus erythematosus
DB01193,Acebutolol,C0242429,Throat sore
DB01193,Acebutolol,C0857305,Thrombocytopenic purpura
DB01193,Acebutolol,C0042571,Vertigo
DB01193,Acebutolol,C0344232,Vision blurred
DB01193,Acebutolol,C0547030,Visual disturbance
DB01193,Acebutolol,C0344320,Vivid dreams
DB01193,Acebutolol,C0043144,Wheezing
DB01193,Acebutolol,C0259817,Xerosis
DB00819,Acetazolamide,C0001824,Agranulocytosis
DB00819,Acetazolamide,C0340865,Anaphylactoid reaction
DB00819,Acetazolamide,C0002874,Aplastic anaemia
DB00819,Acetazolamide,C1971624,Appetite absent
DB00819,Acetazolamide,C0004134,Ataxia
DB00819,Acetazolamide,C0018939,Blood disorder
DB00819,Acetazolamide,C0232459,Digestion impaired
DB00819,Acetazolamide,C0342579,Electrolyte imbalance
DB00819,Acetazolamide,C0014742,Erythema multiforme
DB00819,Acetazolamide,C0233571,Excitement
DB00819,Acetazolamide,C0017979,Glycosuria
DB00819,Acetazolamide,C0018965,Haematuria
DB00819,Acetazolamide,C0020580,Hypoaesthesia
DB00819,Acetazolamide,C0020615,Hypoglycaemia
DB00819,Acetazolamide,C2047937,Ill-defined disorder
DB00819,Acetazolamide,C0151828,Injection site pain
DB00819,Acetazolamide,C0022107,Irritability
DB00819,Acetazolamide,C0022354,Jaundice cholestatic
DB00819,Acetazolamide,C0023530,Leukopenia
DB00819,Acetazolamide,C0231218,Malaise
DB00819,Acetazolamide,C0220981,Metabolic acidosis
DB00819,Acetazolamide,C0028643,Numbness
DB00819,Acetazolamide,C0029442,Osteomalacia
DB00819,Acetazolamide,C0085620,Paralysis flaccid
DB00819,Acetazolamide,C0349506,Photosensitivity
DB00819,Acetazolamide,C0085602,Polydipsia
DB00819,Acetazolamide,C0038325,Stevens-Johnson syndrome
DB00819,Acetazolamide,C0857305,Thrombocytopenic purpura
DB03128,Acetylcholine,C0428977,Bradycardia
DB03128,Acetylcholine,C0010037,Corneal oedema
DB03128,Acetylcholine,C0038990,Sweating
DB00945,Acetylsalicylic acid,C0001122,Acidosis
DB00945,Acetylsalicylic acid,C0002871,Anaemia
DB00945,Acetylsalicylic acid,C0002994,Angioedema
DB00945,Acetylsalicylic acid,C0857177,Arthritic pains
DB00945,Acetylsalicylic acid,C0004096,Asthma
DB00945,Acetylsalicylic acid,C0006147,Breast feeding
DB00945,Acetylsalicylic acid,C0235710,Chest discomfort
DB00945,Acetylsalicylic acid,C0005778,Clotting
DB00945,Acetylsalicylic acid,C0009421,Coma
DB00945,Acetylsalicylic acid,C0011849,Diabetes mellitus
DB00945,Acetylsalicylic acid,C0241863,Diabetic
DB00945,Acetylsalicylic acid,C0012797,Diuresis
DB00945,Acetylsalicylic acid,C0235283,Ear buzzing
DB00945,Acetylsalicylic acid,C0302295,Eruption
DB00945,Acetylsalicylic acid,C0233571,Excitement
DB00945,Acetylsalicylic acid,C0948873,Flu symptoms
DB00945,Acetylsalicylic acid,C0239571,Foetor hepaticus
DB00945,Acetylsalicylic acid,C0017181,Gastrointestinal haemorrhage
DB00945,Acetylsalicylic acid,C0018099,Gout
DB00945,Acetylsalicylic acid,C0018926,Haematemesis
DB00945,Acetylsalicylic acid,C0518015,Haemoglobin
DB00945,Acetylsalicylic acid,C0019087,Haemorrhagic disorder
DB00945,Acetylsalicylic acid,C0018834,Heartburn
DB00945,Acetylsalicylic acid,C0151763,Hepatocellular injury
DB00945,Acetylsalicylic acid,C0235378,Hepatotoxicity
DB00945,Acetylsalicylic acid,C1522133,High cholesterol
DB00945,Acetylsalicylic acid,C0020615,Hypoglycaemia
DB00945,Acetylsalicylic acid,C0151746,Kidney function abnormal
DB00945,Acetylsalicylic acid,C0023530,Leukopenia
DB00945,Acetylsalicylic acid,C0220870,Lightheadedness
DB00945,Acetylsalicylic acid,C0023895,Liver disorder
DB00945,Acetylsalicylic acid,C0041657,Loss of consciousness
DB00945,Acetylsalicylic acid,C0220981,Metabolic acidosis
DB00945,Acetylsalicylic acid,C0030920,Peptic ulcer
DB00945,Acetylsalicylic acid,C0034150,Purpura
DB00945,Acetylsalicylic acid,C0035400,Reye's syndrome
DB00945,Acetylsalicylic acid,C0038990,Sweating
DB00945,Acetylsalicylic acid,C0041582,Ulcer
DB00945,Acetylsalicylic acid,C0008049,Varicella
DB00945,Acetylsalicylic acid,C1368065,Vascular purpura
DB00945,Acetylsalicylic acid,C0042571,Vertigo
DB00787,Aciclovir,C0234238,Ache
DB00787,Aciclovir,C0002170,Alopecia
DB00787,Aciclovir,C0150450,Altered state of consciousness
DB00787,Aciclovir,C0002871,Anaemia
DB00787,Aciclovir,C0002994,Angioedema
DB00787,Aciclovir,C0003460,Anuria
DB00787,Aciclovir,C0038363,Aphthous stomatitis
DB00787,Aciclovir,C0002874,Aplastic anaemia
DB00787,Aciclovir,C0151904,Aspartate aminotransferase increased
DB00787,Aciclovir,C0004134,Ataxia
DB00787,Aciclovir,C0852911,Blood alkaline phosphatase increased
DB00787,Aciclovir,C0151539,Blood urea increased
DB00787,Aciclovir,C0007177,Cardiac tamponade
DB00787,Aciclovir,C0424489,Chapped lips
DB00787,Aciclovir,C0085593,Chills
DB00787,Aciclovir,C0009421,Coma
DB00787,Aciclovir,C0009763,Conjunctivitis
DB00787,Aciclovir,C0026821,Cramp muscle
DB00787,Aciclovir,C0151578,Creatinine increased
DB00787,Aciclovir,C0011175,Dehydration
DB00787,Aciclovir,C0549249,Depressed level of consciousness
DB00787,Aciclovir,C0232459,Digestion impaired
DB00787,Aciclovir,C0012739,Disseminated intravascular coagulation
DB00787,Aciclovir,C0013390,Dysmenorrhoea
DB00787,Aciclovir,C0013595,Eczema
DB00787,Aciclovir,C0041834,Erythema
DB00787,Aciclovir,C0014742,Erythema multiforme
DB00787,Aciclovir,C0015397,Eye disorder
DB00787,Aciclovir,C0542571,Face oedema
DB00787,Aciclovir,C0016204,Flatulence
DB00787,Aciclovir,C0239739,Gingival pain
DB00787,Aciclovir,C0018965,Haematuria
DB00787,Aciclovir,C0235573,Haemoglobinaemia
DB00787,Aciclovir,C0019061,Haemolytic uraemic syndrome
DB00787,Aciclovir,C0018524,Hallucination
DB00787,Aciclovir,C0019158,Hepatitis
DB00787,Aciclovir,C0019372,Herpes virus infection
DB00787,Aciclovir,C2047937,Ill-defined disorder
DB00787,Aciclovir,C0021053,Immune system disorder
DB00787,Aciclovir,C0021368,Inflammation
DB00787,Aciclovir,C0022107,Irritability
DB00787,Aciclovir,C0023222,Leg pain
DB00787,Aciclovir,C2973529,Leukocytoclastic vasculitis
DB00787,Aciclovir,C0023518,Leukocytosis
DB00787,Aciclovir,C0023530,Leukopenia
DB00787,Aciclovir,C0220870,Lightheadedness
DB00787,Aciclovir,C0555724,Lip dry
DB00787,Aciclovir,C0497156,Lymphadenopathy
DB00787,Aciclovir,C0231218,Malaise
DB00787,Aciclovir,C0338831,Mania
DB00787,Aciclovir,C0025061,Mediastinal disorder
DB00787,Aciclovir,C0027441,Nasopharyngitis
DB00787,Aciclovir,C0027540,Necrosis
DB00787,Aciclovir,C0235031,Neurological symptom
DB00787,Aciclovir,C0085649,Oedema peripheral
DB00787,Aciclovir,C2363730,Oropharyngeal discomfort
DB00787,Aciclovir,C0030196,Pain in extremity
DB00787,Aciclovir,C0030252,Palpitations
DB00787,Aciclovir,C0031542,Phlebitis
DB00787,Aciclovir,C0349506,Photosensitivity
DB00787,Aciclovir,C0034063,Pulmonary oedema
DB00787,Aciclovir,C0259799,Punctate keratitis
DB00787,Aciclovir,C0035078,Renal failure
DB00787,Aciclovir,C1260880,Rhinorrhoea
DB00787,Aciclovir,C0424790,Rigors
DB00787,Aciclovir,C1325847,Sensitisation
DB00787,Aciclovir,C0241057,Skin burning sensation
DB00787,Aciclovir,C0038325,Stevens-Johnson syndrome
DB00787,Aciclovir,C0677500,Stinging
DB00787,Aciclovir,C1096543,Superficial punctate keratopathy
DB00787,Aciclovir,C0700590,Sweating increased
DB00787,Aciclovir,C0242429,Throat sore
DB00787,Aciclovir,C0857305,Thrombocytopenic purpura
DB00787,Aciclovir,C0836924,Thrombocytosis
DB00787,Aciclovir,C1510431,Thrombophlebitis superficial
DB00787,Aciclovir,C0034155,Thrombotic thrombocytopenic purpura
DB00787,Aciclovir,C0040822,Tremor
DB00787,Aciclovir,C0041969,Urethral disorder
DB00787,Aciclovir,C0042075,Urinary tract disorder
DB00787,Aciclovir,C0438142,Urine analysis abnormal
DB00787,Aciclovir,C0042384,Vasculitis
DB00787,Aciclovir,C0042571,Vertigo
DB00459,Acitretin,C0702166,Acne
DB00459,Acitretin,C0151474,Alcohol intolerance
DB00459,Acitretin,C0001973,Alcoholism
DB00459,Acitretin,C0002170,Alopecia
DB00459,Acitretin,C0002994,Angioedema
DB00459,Acitretin,C0042373,Angiopathy
DB00459,Acitretin,C0022408,Arthropathy
DB00459,Acitretin,C0149836,Atrophic vulvovaginitis
DB00459,Acitretin,C0004691,Balanoposthitis
DB00459,Acitretin,C0033845,Benign intracranial hypertension
DB00459,Acitretin,C0005940,Bone disorder
DB00459,Acitretin,C0151825,Bone pain
DB00459,Acitretin,C0006444,Bursitis
DB00459,Acitretin,C0006840,Candida infection
DB00459,Acitretin,C0038454,Cerebrovascular accident
DB00459,Acitretin,C0007933,Chalazion
DB00459,Acitretin,C0085593,Chills
DB00459,Acitretin,C0009760,Conjunctival haemorrhage
DB00459,Acitretin,C0009763,Conjunctivitis
DB00459,Acitretin,C0151578,Creatinine increased
DB00459,Acitretin,C0010520,Cyanosis
DB00459,Acitretin,C0010709,Cyst
DB00459,Acitretin,C0010828,Cytopenia
DB00459,Acitretin,C0011606,Dermatitis exfoliative
DB00459,Acitretin,C0424605,Developmental delay
DB00459,Acitretin,C0011849,Diabetes mellitus
DB00459,Acitretin,C0241863,Diabetic
DB00459,Acitretin,C0012569,Diplopia
DB00459,Acitretin,C0314719,Dry eye
DB00459,Acitretin,C1527344,Dysphonia
DB00459,Acitretin,C0013456,Ear pain
DB00459,Acitretin,C0013595,Eczema
DB00459,Acitretin,C0013922,Embolism
DB00459,Acitretin,C0014591,Epistaxis
DB00459,Acitretin,C0041834,Erythema
DB00459,Acitretin,C0015397,Eye disorder
DB00459,Acitretin,C0235266,Eye irritation
DB00459,Acitretin,C0151827,Eye pain
DB00459,Acitretin,C0022281,Eye pruritus
DB00459,Acitretin,C0015663,Fasting
DB00459,Acitretin,C0746883,Febrile neutropenia
DB00459,Acitretin,C0026946,Fungal infection
DB00459,Acitretin,C0017152,Gastritis
DB00459,Acitretin,C0017574,Gingivitis
DB00459,Acitretin,C0017979,Glycosuria
DB00459,Acitretin,C0018965,Haematuria
DB00459,Acitretin,C0518015,Haemoglobin
DB00459,Acitretin,C0019112,Haemorrhoids
DB00459,Acitretin,C0474378,Hair colour changes
DB00459,Acitretin,C0151689,Hair discoloration
DB00459,Acitretin,C0019158,Hepatitis
DB00459,Acitretin,C0600142,Hot flush
DB00459,Acitretin,C0020453,Hyperaesthesia
DB00459,Acitretin,C0870082,Hyperkeratosis
DB00459,Acitretin,C0020473,Hyperlipidaemia
DB00459,Acitretin,C0026826,Hypertonia
DB00459,Acitretin,C0020555,Hypertrichosis
DB00459,Acitretin,C0020580,Hypoaesthesia
DB00459,Acitretin,C2047937,Ill-defined disorder
DB00459,Acitretin,C0021053,Immune system disorder
DB00459,Acitretin,C0232461,Increased appetite
DB00459,Acitretin,C0392171,Influenza-like symptoms
DB00459,Acitretin,C0853089,Intentional self-injury
DB00459,Acitretin,C0021775,Intermittent claudication
DB00459,Acitretin,C0162275,Ketonuria
DB00459,Acitretin,C0438215,Laboratory test abnormal
DB00459,Acitretin,C0022904,Lacrimal disorder
DB00459,Acitretin,C0023533,Leukorrhea
DB00459,Acitretin,C0555724,Lip dry
DB00459,Acitretin,C0242379,Lung neoplasm malignant
DB00459,Acitretin,C0271321,Madarosis
DB00459,Acitretin,C0231218,Malaise
DB00459,Acitretin,C0236075,Menopausal symptoms
DB00459,Acitretin,C0149931,Migraine
DB00459,Acitretin,C0027339,Nail disorder
DB00459,Acitretin,C0027813,Neuritis
DB00459,Acitretin,C0031117,Neuropathy peripheral
DB00459,Acitretin,C0085649,Oedema peripheral
DB00459,Acitretin,C0014868,Oesophagitis
DB00459,Acitretin,C0029134,Optic neuritis
DB00459,Acitretin,C0029878,Otitis externa
DB00459,Acitretin,C0029882,Otitis media
DB00459,Acitretin,C0030305,Pancreatitis
DB00459,Acitretin,C0030312,Pancytopenia
DB00459,Acitretin,C0030578,Paronychia
DB00459,Acitretin,C0030846,Penis disorder
DB00459,Acitretin,C0235490,Peripheral ischaemia
DB00459,Acitretin,C0349506,Photosensitivity
DB00459,Acitretin,C0033687,Proteinuria
DB00459,Acitretin,C0235763,Psoriasis flare-up
DB00459,Acitretin,C0034150,Purpura
DB00459,Acitretin,C0332575,Redness
DB00459,Acitretin,C0035317,Retinal haemorrhage
DB00459,Acitretin,C0424790,Rigors
DB00459,Acitretin,C0235746,Saliva altered
DB00459,Acitretin,C0037036,Salivary hypersecretion
DB00459,Acitretin,C0205204,Scab
DB00459,Acitretin,C0011644,Scleroderma
DB00459,Acitretin,C0037199,Sinusitis
DB00459,Acitretin,C0151514,Skin atrophy
DB00459,Acitretin,C0221245,Skin fissures
DB00459,Acitretin,C0549419,Skin fragility
DB00459,Acitretin,C0151717,Skin hypertrophy
DB00459,Acitretin,C0281981,Skin mass
DB00459,Acitretin,C0037287,Skin nodule
DB00459,Acitretin,C0347390,Skin papilloma
DB00459,Acitretin,C0037299,Skin ulcer
DB00459,Acitretin,C0595879,Sodium high
DB00459,Acitretin,C0392162,Sticky skin
DB00459,Acitretin,C0038362,Stomatitis
DB00459,Acitretin,C0424000,Suicidal ideation
DB00459,Acitretin,C0700590,Sweating increased
DB00459,Acitretin,C0233494,Tension
DB00459,Acitretin,C0040038,Thromboembolism
DB00459,Acitretin,C0038367,Ulcerative stomatitis
DB00459,Acitretin,C0042029,Urinary tract infection
DB00459,Acitretin,C0438142,Urine analysis abnormal
DB00459,Acitretin,C0221392,Vaginitis atrophic
DB00459,Acitretin,C1368065,Vascular purpura
DB00459,Acitretin,C0042384,Vasculitis
DB00459,Acitretin,C0344232,Vision blurred
DB00459,Acitretin,C0547030,Visual disturbance
DB00459,Acitretin,C0043096,Weight decreased
DB00459,Acitretin,C0750426,White blood cell count increased
DB00459,Acitretin,C0043349,Xerophthalmia
DB00210,Adapalene,C0002994,Angioedema
DB00210,Adapalene,C0009763,Conjunctivitis
DB00210,Adapalene,C0011606,Dermatitis exfoliative
DB00210,Adapalene,C0013595,Eczema
DB00210,Adapalene,C0041834,Erythema
DB00210,Adapalene,C0239454,Erythema of eyelid
DB00210,Adapalene,C0015256,Excoriation
DB00210,Adapalene,C0151827,Eye pain
DB00210,Adapalene,C0162285,Eyelid oedema
DB00210,Adapalene,C0849918,Eyelids pruritus
DB00210,Adapalene,C0542571,Face oedema
DB00210,Adapalene,C0019158,Hepatitis
DB00210,Adapalene,C0019345,Herpes labialis
DB00210,Adapalene,C0022573,Keratoconjunctivitis
DB00210,Adapalene,C0029134,Optic neuritis
DB00210,Adapalene,C0341012,Oral herpes
DB00210,Adapalene,C0241136,Pain of skin
DB00210,Adapalene,C1527358,Phototoxicity
DB00210,Adapalene,C0221203,Rash vesicular
DB00210,Adapalene,C0332575,Redness
DB00210,Adapalene,C0863084,Skin discomfort
DB00210,Adapalene,C0677500,Stinging
DB00210,Adapalene,C0560024,Swelling of eyelid
DB00210,Adapalene,C0151883,Vesiculobullous rash
DB00718,Adefovir Dipivoxil,C0002871,Anaemia
DB00718,Adefovir Dipivoxil,C0151825,Bone pain
DB00718,Adefovir Dipivoxil,C0009782,Connective tissue disorder
DB00718,Adefovir Dipivoxil,C0151578,Creatinine increased
DB00718,Adefovir Dipivoxil,C0015624,Fanconi syndrome
DB00718,Adefovir Dipivoxil,C0016204,Flatulence
DB00718,Adefovir Dipivoxil,C0239571,Foetor hepaticus
DB00718,Adefovir Dipivoxil,C0016658,Fracture
DB00718,Adefovir Dipivoxil,C0017979,Glycosuria
DB00718,Adefovir Dipivoxil,C0018965,Haematuria
DB00718,Adefovir Dipivoxil,C0019158,Hepatitis
DB00718,Adefovir Dipivoxil,C0151763,Hepatocellular injury
DB00718,Adefovir Dipivoxil,C0085682,Hypophosphataemia
DB00718,Adefovir Dipivoxil,C0151746,Kidney function abnormal
DB00718,Adefovir Dipivoxil,C0023895,Liver disorder
DB00718,Adefovir Dipivoxil,C0162429,Malnutrition
DB00718,Adefovir Dipivoxil,C0595916,Nephropathy toxic
DB00718,Adefovir Dipivoxil,C0029442,Osteomalacia
DB00718,Adefovir Dipivoxil,C0030305,Pancreatitis
DB00718,Adefovir Dipivoxil,C0920102,Phosphorus low
DB00718,Adefovir Dipivoxil,C0035078,Renal failure
DB00718,Adefovir Dipivoxil,C0151747,Renal tubular disorder
DB00718,Adefovir Dipivoxil,C0037199,Sinusitis
DB00718,Adefovir Dipivoxil,C0041969,Urethral disorder
DB00718,Adefovir Dipivoxil,C0042075,Urinary tract disorder
DB00718,Adefovir Dipivoxil,C0043096,Weight decreased
