,cuis,drugbankID,drugname,indication
96,C1140680,DB00441,gemcitabine,Malignant tumor of ovary
97,C0026838,DB00356,chlorzoxazone,Spasticity
98,C1261473,DB11626,tasonermin,Sarcoma of soft tissue
99,C0023434,DB08935,obinutuzumab,"Chronic lymphoid leukemia, disease"
100,C0278701,DB05578,ramucirumab,Adenocarcinoma of stomach
101,C0007131,DB05578,ramucirumab,Non-small cell lung cancer
102,C2239176,DB05578,ramucirumab,Liver cell carcinoma
103,C0278678,DB09035,nivolumab,Metastatic renal cell carcinoma
104,C0149782,DB09035,nivolumab,Squamous cell carcinoma of lung
105,C0860594,DB09035,nivolumab,Metastatic malignant melanoma
106,C0007131,DB09035,nivolumab,Non-small cell lung cancer
107,C0026764,DB09331,daratumumab,Multiple myeloma
108,C0023487,DB04942,tamibarotene,"Acute promyelocytic leukemia, FAB M3"
109,C0009324,DB09033,vedolizumab,Ulcerative colitis
110,C0010346,DB09033,vedolizumab,Crohn's disease
111,C1960397,DB08901,ponatinib,Philadelphia chromosome-positive acute lymphoblastic leukemia
112,C0023473,DB08901,ponatinib,Chronic myeloid leukemia
113,C0032463,DB08877,ruxolitinib,Polycythemia vera
114,C0027022,DB08877,ruxolitinib,Myeloproliferative disorder
115,C0026987,DB08877,ruxolitinib,Myelofibrosis
116,C0021572,DB13826,etohexadiol,Insect repellent
117,C0013428,DB01438,phenazopyridine,Dysuria
118,C0036508,DB09096,benzoyl peroxide,Seborrheic dermatitis
119,C0011615,DB09096,benzoyl peroxide,Atopic dermatitis
120,C0001144,DB09096,benzoyl peroxide,Acne vulgaris
121,C0015230,DB09096,benzoyl peroxide,Eruption of skin
122,C0085074,DB09096,benzoyl peroxide,Granuloma annulare
123,C0033777,DB09096,benzoyl peroxide,Pruritus of genital organs
124,C0011616,DB09096,benzoyl peroxide,Contact dermatitis
125,C0033775,DB09096,benzoyl peroxide,Pruritus ani
126,C0033774,DB11148,butamben,Itching of skin
127,C0152030,DB11148,butamben,Skin irritation
128,C0002921,DB09085,tetracaine,Local anesthesia
129,C0033774,DB09085,tetracaine,Itching of skin
130,C0002928,DB09085,tetracaine,Local anesthetic intrathecal block
131,C0152030,DB09085,tetracaine,Skin irritation
132,C0011860,DB00672,chlorpropamide,Diabetes mellitus type 2
133,C0152030,DB01086,benzocaine,Skin irritation
134,C0010200,DB01086,benzocaine,Cough
135,C0002921,DB01086,benzocaine,Local anesthesia
136,C0242429,DB01086,benzocaine,Sore throat symptom
137,C0033774,DB01086,benzocaine,Itching of skin
138,C0040252,DB01086,benzocaine,Tinea corporis
139,C0040259,DB01086,benzocaine,Tinea pedis
140,C0027424,DB09203,oxedrine,Nasal congestion
141,C1260880,DB09203,oxedrine,Nasal discharge
142,C0020474,DB01095,fluvastatin,Mixed hyperlipidemia
143,C0342882,DB01095,fluvastatin,Familial hypercholesterolemia - heterozygous
144,C0020443,DB01095,fluvastatin,Hypercholesterolemia
145,C0003850,DB01095,fluvastatin,Arteriosclerotic vascular disease
146,C0024623,DB03209,oteracil,Malignant tumor of stomach
147,C0392164,DB09280,lumacaftor,Cystic fibrosis of the lung
148,C0334634,DB09053,ibrutinib,Mantle cell lymphoma
149,C0023434,DB09053,ibrutinib,"Chronic lymphoid leukemia, disease"
150,C0024419,DB09053,ibrutinib,Waldenstr??m macroglobulinemia
151,C0867389,DB09053,ibrutinib,Chronic graft-versus-host disease
152,C0011860,DB00222,glimepiride,Diabetes mellitus type 2
153,C0860594,DB05239,cobimetinib,Metastatic malignant melanoma
154,C0031572,DB00285,venlafaxine,Social phobia
155,C1269683,DB00285,venlafaxine,Major depressive disorder
156,C0270549,DB00285,venlafaxine,Generalized anxiety disorder
157,C0030319,DB00285,venlafaxine,Panic disorder
158,C1269683,DB06700,desvenlafaxine,Major depressive disorder
159,C0038220,DB01320,fosphenytoin,Status epilepticus
160,C2711653,DB01320,fosphenytoin,Epilepsy characterized by intractable complex partial seizures
161,C0014544,DB01320,fosphenytoin,Epilepsy
162,C0017612,DB09351,levobetaxolol,Open-angle glaucoma
163,C0028840,DB09351,levobetaxolol,Ocular hypertension
164,C0003862,DB13882,methyl nicotinate,Joint pain
165,C0393735,DB00874,guaifenesin,Headache disorder
166,C0015967,DB00874,guaifenesin,Fever
167,C0035455,DB00874,guaifenesin,Rhinitis
168,C0009443,DB00874,guaifenesin,Common cold
169,C0392171,DB00874,guaifenesin,Influenza-like symptoms
170,C2607914,DB00874,guaifenesin,Allergic rhinitis
171,C0027424,DB00874,guaifenesin,Nasal congestion
172,C1260880,DB00874,guaifenesin,Nasal discharge
173,C0037195,DB00874,guaifenesin,Sinus headache
174,C0010200,DB00874,guaifenesin,Cough
175,C0023817,DB13521,alipogene tiparvovec,Familial lipoprotein lipase deficiency
176,C0032743,DB13848,fluorodopa (18F),Positron emission tomography
177,C0339933,DB01150,cefprozil,Acute bacterial bronchitis
178,C0271429,DB01150,cefprozil,Acute otitis media
179,C0041912,DB01150,cefprozil,Upper respiratory infection
180,C0275556,DB01150,cefprozil,Acute bacterial sinusitis
181,C0554628,DB01150,cefprozil,Streptococcus pyogenes infection
182,C0856695,DB01150,cefprozil,Acute exacerbation of chronic bronchitis
183,C0275804,DB01150,cefprozil,Streptococcal tonsillitis
184,C0729586,DB01150,cefprozil,Infective otitis media
185,C0339932,DB01150,cefprozil,Acute Moraxella catarrhalis bronchitis
186,C0178299,DB01150,cefprozil,Infection of skin AND/OR subcutaneous tissue
187,C1318973,DB01150,cefprozil,Infection due to Staphylococcus aureus
188,C0040425,DB01150,cefprozil,Tonsillitis
189,C0006277,DB01150,cefprozil,Bronchitis
190,C0016053,DB04896,milnacipran,Fibromyalgia
191,C0023473,DB12323,radotinib,Chronic myeloid leukemia
192,C0014544,DB15985,aminohydroxybutyric acid,Epilepsy
193,C0011860,DB09045,dulaglutide,Diabetes mellitus type 2
194,C0524910,DB06290,simeprevir,Chronic hepatitis C
195,C0524910,DB11929,vaniprevir,Chronic hepatitis C
196,C0030567,DB11632,opicapone,Parkinson's disease
197,C0443072,DB01123,proflavine,Antiseptic preparation
198,C0043352,DB01085,pilocarpine,Aptyalism
199,C0017612,DB01085,pilocarpine,Open-angle glaucoma
200,C0028840,DB01085,pilocarpine,Ocular hypertension
201,C0343065,DB11160,phenyltoloxamine,Dermatographic urticaria
202,C2607914,DB11160,phenyltoloxamine,Allergic rhinitis
203,C1260880,DB11160,phenyltoloxamine,Nasal discharge
204,C0035460,DB11160,phenyltoloxamine,Vasomotor rhinitis
205,C0392171,DB11160,phenyltoloxamine,Influenza-like symptoms
206,C0042109,DB11160,phenyltoloxamine,Urticaria
207,C0033774,DB11160,phenyltoloxamine,Itching of skin
208,C0018621,DB11160,phenyltoloxamine,Seasonal allergic rhinitis
209,C0009766,DB11160,phenyltoloxamine,Allergic conjunctivitis
210,C0005586,DB14507,lithium citrate,Bipolar disorder
211,C0338873,DB14507,lithium citrate,"Bipolar affective disorder, current episode manic"
212,C0270425,DB14507,lithium citrate,Bipolar disorder in remission
213,C0275556,DB00535,cefdinir,Acute bacterial sinusitis
214,C0554628,DB00535,cefdinir,Streptococcus pyogenes infection
215,C0155862,DB00535,cefdinir,Pneumonia due to Streptococcus
216,C0276026,DB00535,cefdinir,Haemophilus influenzae pneumonia
217,C0339932,DB00535,cefdinir,Acute Moraxella catarrhalis bronchitis
218,C0275804,DB00535,cefdinir,Streptococcal tonsillitis
219,C1318973,DB00535,cefdinir,Infection due to Staphylococcus aureus
220,C0729586,DB00535,cefdinir,Infective otitis media
221,C0010823,DB12070,letermovir,Cytomegalovirus infection
222,C0030193,DB00963,bromfenac,Pain
223,C3874358,DB11691,naldemedine,Therapeutic opioid induced constipation
224,C0026764,DB06317,elotuzumab,Multiple myeloma
225,C2349261,DB06317,elotuzumab,Relapse multiple myeloma
226,C0376358,DB08899,enzalutamide,Malignant tumor of prostate
227,C0011991,DB01081,diphenoxylate,Diarrhea
228,C2316212,DB06168,canakinumab,Cryopyrin associated periodic syndrome
229,C1384600,DB06168,canakinumab,Systemic onset juvenile chronic arthritis
230,C0003868,DB06168,canakinumab,Articular gout
231,C0342731,DB06168,canakinumab,Deficiency of mevalonate kinase
232,C0031069,DB06168,canakinumab,Familial Mediterranean fever
233,C1275126,DB06168,canakinumab,TNF receptor-associated periodic fever syndrome (TRAPS)
234,C0019829,DB08870,brentuximab vedotin,Hodgkin's disease
235,C1275317,DB08870,brentuximab vedotin,Anaplastic large T-cell systemic malignant lymphoma
236,C0152516,DB00931,metacycline,Bacterial enteritis
237,C0030567,DB00268,ropinirole,Parkinson's disease
238,C0035258,DB00268,ropinirole,Restless legs
239,C0036341,DB09128,brexpiprazole,Schizophrenia
240,C1269683,DB09128,brexpiprazole,Major depressive disorder
241,C0011860,DB12412,gemigliptin,Diabetes mellitus type 2
242,C0040261,DB00857,terbinafine,Onychomycosis due to dermatophyte
243,C0040259,DB00857,terbinafine,Tinea pedis
244,C0040262,DB00857,terbinafine,Pityriasis versicolor
245,C1274470,DB00857,terbinafine,Onychomycosis of toenails
246,C0040250,DB00857,terbinafine,Tinea capitis
247,C1384589,DB00857,terbinafine,Tinea cruris
248,C1274469,DB00857,terbinafine,Onychomycosis of fingernails
249,C0040252,DB00857,terbinafine,Tinea corporis
250,C0021361,DB00882,clomifene,Female infertility
251,C0029967,DB00882,clomifene,Ovulation induction
252,C0011860,DB13928,semaglutide,Diabetes mellitus type 2
253,C0041327,DB13608,tiocarlide,Pulmonary tuberculosis
254,C0037383,DB06691,mepyramine,Sneezing
255,C0033774,DB06691,mepyramine,Itching of skin
256,C0009443,DB06691,mepyramine,Common cold
257,C0392171,DB06691,mepyramine,Influenza-like symptoms
258,C1260880,DB06691,mepyramine,Nasal discharge
259,C0009766,DB06691,mepyramine,Allergic conjunctivitis
260,C0018621,DB06691,mepyramine,Seasonal allergic rhinitis
261,C2607914,DB06691,mepyramine,Allergic rhinitis
262,C0035460,DB06691,mepyramine,Vasomotor rhinitis
263,C0042109,DB06691,mepyramine,Urticaria
264,C0343065,DB06691,mepyramine,Dermatographic urticaria
265,C0027424,DB06691,mepyramine,Nasal congestion
266,C0037195,DB06691,mepyramine,Sinus headache
267,C0013390,DB06691,mepyramine,Dysmenorrhea
268,C0033774,DB00792,tripelennamine,Itching of skin
269,C0343065,DB00792,tripelennamine,Dermatographic urticaria
270,C2607914,DB00792,tripelennamine,Allergic rhinitis
271,C1260880,DB00792,tripelennamine,Nasal discharge
272,C0042109,DB00792,tripelennamine,Urticaria
273,C0035460,DB00792,tripelennamine,Vasomotor rhinitis
274,C0027424,DB00792,tripelennamine,Nasal congestion
275,C0037383,DB00792,tripelennamine,Sneezing
276,C0009766,DB00792,tripelennamine,Allergic conjunctivitis
277,C0035460,DB04819,methapyrilene,Vasomotor rhinitis
278,C0343065,DB04819,methapyrilene,Dermatographic urticaria
279,C0033774,DB04819,methapyrilene,Itching of skin
280,C0042109,DB04819,methapyrilene,Urticaria
281,C0009766,DB04819,methapyrilene,Allergic conjunctivitis
282,C0037383,DB04819,methapyrilene,Sneezing
283,C2607914,DB04819,methapyrilene,Allergic rhinitis
284,C0027424,DB04819,methapyrilene,Nasal congestion
285,C1260880,DB04819,methapyrilene,Nasal discharge
286,C0035460,DB08799,antazoline,Vasomotor rhinitis
287,C0343065,DB08799,antazoline,Dermatographic urticaria
288,C0027424,DB08799,antazoline,Nasal congestion
289,C0033774,DB08799,antazoline,Itching of skin
290,C0037383,DB08799,antazoline,Sneezing
291,C1260880,DB08799,antazoline,Nasal discharge
292,C0009766,DB08799,antazoline,Allergic conjunctivitis
293,C0235267,DB08799,antazoline,Red eye
294,C0042109,DB08799,antazoline,Urticaria
295,C2607914,DB08799,antazoline,Allergic rhinitis
296,C0019080,DB06692,aprotinin,Hemorrhage
297,C2607914,DB11742,ebastine,Allergic rhinitis
298,C0578870,DB11742,ebastine,Chronic idiopathic urticaria
299,C0007131,DB09559,necitumumab,Non-small cell lung cancer
300,C0011615,DB05219,crisaborole,Atopic dermatitis
301,C0034065,DB09259,bemiparin,Pulmonary embolism
302,C0149871,DB09259,bemiparin,Deep venous thrombosis
303,C0034065,DB00013,urokinase,Pulmonary embolism
304,C0011860,DB11824,tofogliflozin,Diabetes mellitus type 2
305,C0007820,DB13550,bifemelane,Cerebrovascular disease
306,C0086651,DB09051,elosulfase alfa,"Mucopolysaccharidosis, MPS-IV-A"
307,C0032743,DB09148,florbetaben F18,Positron emission tomography
308,C0023449,DB00023,asparaginase,Acute lymphoid leukemia
309,C0030291,DB08862,pancreozymin,Pancreatic function test
310,C0017152,DB11656,rebamipide,Gastritis
311,C0030920,DB11656,rebamipide,Peptic ulcer
312,C0573789,DB09141,protamine sulfate,Heparin overdose
313,C0011974,DB14005,dimethicone,Diaper rash
314,C0022662,DB00638,inulin,Renal function study
315,C0013238,DB11063,polysorbate 80,Tear film insufficiency
316,C2585945,DB15404,heparin,Prevention of deep vein thrombosis
317,C0149871,DB15404,heparin,Deep venous thrombosis
318,C0524702,DB15404,heparin,Pulmonary thromboembolism
319,C0542269,DB15404,heparin,Non-Q wave myocardial infarction
320,C0012739,DB15404,heparin,Disseminated intravascular coagulation
321,C0564750,DB15404,heparin,Peripheral arterial embolism
322,C0197672,DB08818,hyaluronic acid,Operation on lens
323,C0395020,DB08818,hyaluronic acid,Surgical procedure on eye proper
324,C2939459,DB09375,chymotrypsin,Cataract surgery
325,C0235267,DB14478,crospovidone,Red eye
326,C0013238,DB14478,crospovidone,Tear film insufficiency
327,C0042345,DB06811,polidocanol,Venous varices
328,C0013238,DB11060,polyvinyl alcohol,Tear film insufficiency
329,C0235267,DB11060,polyvinyl alcohol,Red eye
330,C0204837,DB14740,hyaluronidase,Subcutaneous clysis of patient for fluid administration
331,C0410065,DB00048,collagenase,"Dupuytren's disease of finger, with contracture"
332,C0030848,DB00048,collagenase,Induratio penis plastica
333,C0242362,DB06752,chymopapain,Intervertebral disc prolapse
334,C0013882,DB00711,diethylcarbamazine,Lymphatic filariasis
335,C1527407,DB00711,diethylcarbamazine,Eosinophilic asthma
336,C0023968,DB00711,diethylcarbamazine,Infection by Loa loa
337,C0029001,DB00711,diethylcarbamazine,Infection by Onchocerca volvulus
338,C0028754,DB00937,diethylpropion,Obesity
339,C0393735,DB00852,pseudoephedrine,Headache disorder
340,C0027424,DB00852,pseudoephedrine,Nasal congestion
341,C1260880,DB00852,pseudoephedrine,Nasal discharge
342,C0009766,DB00852,pseudoephedrine,Allergic conjunctivitis
343,C0018621,DB00852,pseudoephedrine,Seasonal allergic rhinitis
344,C0035460,DB00852,pseudoephedrine,Vasomotor rhinitis
345,C2607914,DB00852,pseudoephedrine,Allergic rhinitis
346,C0392171,DB00852,pseudoephedrine,Influenza-like symptoms
347,C0037195,DB00852,pseudoephedrine,Sinus headache
348,C0035455,DB00852,pseudoephedrine,Rhinitis
349,C0009443,DB00852,pseudoephedrine,Common cold
350,C0005683,DB04564,gluconolactone,Urinary bladder stone
351,C0042029,DB13218,mandelic acid,Urinary tract infectious disease
352,C0024537,DB01087,primaquine,Vivax malaria
353,C1260880,DB11359,guaiacol,Nasal discharge
354,C0009443,DB11359,guaiacol,Common cold
355,C0010200,DB11359,guaiacol,Cough
356,C0027424,DB11359,guaiacol,Nasal congestion
357,C0035455,DB11359,guaiacol,Rhinitis
358,C0029401,DB01133,tiludronic acid,Osteitis deformans
359,C0011860,DB12214,luseogliflozin,Diabetes mellitus type 2
360,C0003873,DB06736,aceclofenac,Rheumatoid arthritis
361,C0038013,DB06736,aceclofenac,Ankylosing spondylitis
362,C0029408,DB06736,aceclofenac,Osteoarthritis
363,C1306835,DB06736,aceclofenac,Adhesive capsulitis of shoulder
364,C0004604,DB06736,aceclofenac,Backache
365,C0003615,DB01606,tazobactam,Appendicitis
366,C0004626,DB01606,tazobactam,Bacterial pneumonia
367,C0949083,DB01606,tazobactam,Nosocomial pneumonia
368,C0031154,DB01606,tazobactam,Peritonitis
369,C0243001,DB01606,tazobactam,Abdominal abscess
370,C0178299,DB01606,tazobactam,Infection of skin AND/OR subcutaneous tissue
371,C0276026,DB01606,tazobactam,Haemophilus influenzae pneumonia
372,C1318973,DB01606,tazobactam,Infection due to Staphylococcus aureus
373,C0401160,DB11699,tropisetron,Chemotherapy-induced nausea and vomiting
374,C0036341,DB13676,mosapramine,Schizophrenia
375,C0020538,DB11783,imidapril,Hypertensive disorder
376,C0155880,DB00938,salmeterol,Non-allergic asthma
377,C0034067,DB00938,salmeterol,Pulmonary emphysema
378,C0155877,DB00938,salmeterol,Allergic asthma
379,C0040262,DB14123,levomenthol,Pityriasis versicolor
380,C0152030,DB14123,levomenthol,Skin irritation
381,C0033774,DB14123,levomenthol,Itching of skin
382,C0423775,DB14123,levomenthol,Pityriasis simplex
383,C0011974,DB14123,levomenthol,Diaper rash
384,C0004604,DB14123,levomenthol,Backache
385,C0002921,DB14123,levomenthol,Local anesthesia
386,C0036508,DB14123,levomenthol,Seborrheic dermatitis
387,C2937222,DB00244,mesalazine,Chronic ulcerative proctitis
388,C0009324,DB00244,mesalazine,Ulcerative colitis
389,C3697010,DB00244,mesalazine,Ulcerative colitis in remission
390,C0267390,DB00244,mesalazine,Chronic ulcerative rectosigmoiditis
391,C0948008,DB12243,edaravone,Ischemic stroke
392,C0002736,DB12243,edaravone,Amyotrophic lateral sclerosis
393,C0020538,DB01340,cilazapril,Hypertensive disorder
394,C0011268,DB11275,epicriptine,Senile dementia
395,C0002395,DB11275,epicriptine,Alzheimer's disease
396,C0026838,DB14656,chlorphenesin carbamate,Spasticity
397,C0018099,DB09208,pegloticase,Gout
398,C0024535,DB09274,artesunate,Falciparum malaria
399,C0024537,DB09274,artesunate,Vivax malaria
400,C1961835,DB06720,velaglucerase alfa,Chronic non-neuropathic Gaucher's disease
401,C2973725,DB05229,beraprost,Pulmonary arterial hypertension
402,C0038358,DB11739,vonoprazan,Gastric ulcer
403,C0013295,DB11739,vonoprazan,Duodenal ulcer disease
404,C0677659,DB11739,vonoprazan,Gastro-esophageal reflux disease with esophagitis
405,C0002963,DB00381,amlodipine,Prinzmetal angina
406,C0038454,DB00381,amlodipine,Cerebrovascular accident
407,C0020538,DB00381,amlodipine,Hypertensive disorder
408,C0002962,DB00381,amlodipine,Angina pectoris
409,C0080203,DB12712,pilsicainide,Tachyarrhythmia
410,C4076057,DB01413,cefepime,Urinary tract infection caused by Klebsiella
411,C0520775,DB01413,cefepime,Klebsiella cystitis
412,C1318973,DB01413,cefepime,Infection due to Staphylococcus aureus
413,C0155860,DB01413,cefepime,Pneumonia due to Pseudomonas
414,C0155862,DB01413,cefepime,Pneumonia due to Streptococcus
415,C1112209,DB01413,cefepime,Infectious disease of abdomen
416,C0577708,DB01413,cefepime,Escherichia coli urinary tract infection
417,C0004626,DB01413,cefepime,Bacterial pneumonia
418,C0554628,DB01413,cefepime,Streptococcus pyogenes infection
419,C0343402,DB01413,cefepime,Bacterial infection due to Klebsiella pneumoniae
420,C0577709,DB01413,cefepime,Proteus urinary tract infection
421,C0276075,DB01413,cefepime,Infection due to Pseudomonas aeruginosa
422,C0155862,DB01413,cefepime,Pneumococcal pneumonia
423,C0341503,DB01413,cefepime,Bacterial peritonitis
424,C0729524,DB01413,cefepime,Bacterial urinary infection
425,C0443072,DB11121,chloroxylenol,Antiseptic preparation
426,C0007117,DB08828,vismodegib,Basal cell carcinoma of skin
427,C0740394,DB11560,lesinurad,Hyperuricemia
428,C0018621,DB09488,acrivastine,Seasonal allergic rhinitis
429,C0035460,DB09488,acrivastine,Vasomotor rhinitis
430,C0027424,DB09488,acrivastine,Nasal congestion
431,C1260880,DB09488,acrivastine,Nasal discharge
432,C0009766,DB09488,acrivastine,Allergic conjunctivitis
433,C0037383,DB09488,acrivastine,Sneezing
434,C0009443,DB09488,acrivastine,Common cold
435,C2607914,DB09488,acrivastine,Allergic rhinitis
436,C0007131,DB00707,porfimer,Non-small cell lung cancer
437,C0546837,DB00707,porfimer,Malignant tumor of esophagus
438,C0006325,DB12833,tandospirone,Bruxism (teeth grinding)
439,C0007131,DB08865,crizotinib,Non-small cell lung cancer
440,C1997351,DB00519,trandolapril,Left ventricular cardiac dysfunction
441,C0264716,DB00519,trandolapril,Chronic heart failure
442,C0020538,DB00519,trandolapril,Hypertensive disorder
443,C0343386,DB08874,fidaxomicin,Clostridium difficile infection
444,C0014358,DB08874,fidaxomicin,Pseudomembranous enterocolitis
445,C0038454,DB00178,ramipril,Cerebrovascular accident
446,C0264716,DB00178,ramipril,Chronic heart failure
447,C1997351,DB00178,ramipril,Left ventricular cardiac dysfunction
448,C0020538,DB00178,ramipril,Hypertensive disorder
449,C0392164,DB08820,ivacaftor,Cystic fibrosis of the lung
450,C0009766,DB01084,emedastine,Allergic conjunctivitis
451,C0042109,DB01084,emedastine,Urticaria
452,C0033774,DB01084,emedastine,Itching of skin
453,C0860594,DB08911,trametinib,Metastatic malignant melanoma
454,C0023434,DB09054,idelalisib,"Chronic lymphoid leukemia, disease"
455,C0024301,DB09054,idelalisib,Follicular non-Hodgkin's lymphoma
456,C0855095,DB09054,idelalisib,Malignant lymphoma - small lymphocytic
457,C1960644,DB11195,xylitol,Prevention of dental caries
458,C0030783,DB13178,inositol,Pellagra
459,C0030783,DB13178,inositol,Niacin deficiency
460,C0473527,DB13178,inositol,Hypoalphalipoproteinemia
461,C0020474,DB13178,inositol,Mixed hyperlipidemia
462,C0020557,DB13178,inositol,Hypertriglyceridemia
463,C0020443,DB13178,inositol,Hypercholesterolemia
464,C0264716,DB00883,isosorbide dinitrate,Chronic heart failure
465,C0002962,DB00883,isosorbide dinitrate,Angina pectoris
466,C0031350,DB00417,phenoxymethylpenicillin,Pharyngitis
467,C1318973,DB00417,phenoxymethylpenicillin,Infection due to Staphylococcus aureus
468,C1318559,DB00417,phenoxymethylpenicillin,Fusospirochetal pharyngitis
469,C0271429,DB00417,phenoxymethylpenicillin,Acute otitis media
470,C0014733,DB00417,phenoxymethylpenicillin,Erysipelas
